"RI GENERAL ELECTION",,,,,,,
"November 2, 2004",,,,,,,
,,,,,,,
"PRESIDENTIAL ELECTION RESULTS by COUNTY",,,,,,,
,,,,,,,
,"John F.","George W.",David,John,"Ralph ",Michael,"Michael A. "
COMMUNITY,KERRY,BUSH,COBB,PARKER,NADER,BADNARIK,PEROUTKA
,(DEM),(REP),(GRN),(WW),(REF),(LIB),(CON)
"BRISTOL COUNTY",,,,,,,
BARRINGTON,5291,4020,26,3,78,30,2
BRISTOL,6276,4000,18,8,100,22,3
WARREN,2881,1835,17,3,55,8,1
"County Total",14448,9855,61,14,233,60,6
"KENT COUNTY",,,,,,,
COVENTRY,8417,7249,38,15,175,30,15
"EAST GREENWICH",3289,3690,13,2,81,26,7
WARWICK,23164,16640,95,14,452,72,30
"WEST GREENWICH",1300,1466,11,1,44,8,4
"WEST WARWICK",6660,4654,32,11,108,23,6
"County Total",42830,33699,189,43,860,159,62
"NEWPORT COUNTY",,,,,,,
JAMESTOWN,2133,1372,13,0,56,9,8
"LITTLE COMPTON",1195,1056,6,1,37,11,1
MIDDLETOWN,4024,3146,17,4,82,16,10
NEWPORT,6475,3699,33,9,116,22,6
PORTSMOUTH,4868,4337,30,3,84,22,4
TIVERTON,4297,3012,20,3,79,13,8
"County Total",22992,16622,119,20,454,93,37
"PROVIDENCE COUNTY",,,,,,,
BURRILLVILLE,3204,3024,14,6,74,11,6
"CENTRAL FALLS",2647,807,14,4,21,2,3
CRANSTON,20331,14471,81,21,298,62,17
CUMBERLAND,8753,6874,39,4,166,28,7
"EAST PROVIDENCE",13655,6359,52,11,209,32,14
FOSTER,1224,1121,10,1,39,8,1
GLOCESTER,2425,2357,15,5,57,12,4
JOHNSTON,7870,5848,25,10,133,12,6
LINCOLN,5783,4966,37,6,101,10,7
"NORTH PROVIDENCE",9671,5662,24,5,147,19,14
"NORTH SMITHFIELD",2961,2716,6,1,56,7,7
PAWTUCKET,15567,6394,67,21,233,49,28
PROVIDENCE,35917,9787,278,42,475,99,36
SCITUATE,2510,3001,20,4,77,18,4
SMITHFIELD,4861,4425,20,4,97,23,4
WOONSOCKET,7432,4525,45,6,121,31,16
"County Total",144811,82337,747,151,2304,423,174
"WASHINGTON COUNTY",,,,,,,
CHARLESTOWN,2279,1838,18,3,51,10,3
EXETER,1506,1439,13,2,43,6,2
HOPKINTON,1838,1589,14,3,68,19,1
NARRAGANSETT,4921,3444,15,2,104,24,8
"NEW SHOREHAM",696,338,9,1,24,0,1
"NORTH KINGSTOWN",7430,6536,30,8,167,41,18
RICHMOND,1853,1591,14,2,55,12,1
"SOUTH KINGSTOWN",8091,4949,70,0,149,42,13
WESTERLY,6065,4809,34,4,139,18,13
"County Total",34679,26533,217,25,800,172,60
"STATE TOTALS",259760,169046,1333,253,4651,907,339
